C,C,W,W,W,D,D,G,UTIL,,Instructions
,,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,G,Pekka Rinne (11670967),Pekka Rinne,11670967,G,8500,STL@NSH 11/21/2018 08:00PM ET,NSH,6.12
,,,,,,,,,,G,John Gibson (11670968),John Gibson,11670968,G,8400,VAN@ANH 11/21/2018 10:00PM ET,ANH,5.09
,,,,,,,,,,G,Juuse Saros (11670995),Juuse Saros,11670995,G,8300,STL@NSH 11/21/2018 08:00PM ET,NSH,4.62
,,,,,,,,,,G,Semyon Varlamov (11670969),Semyon Varlamov,11670969,G,8300,COL@LA 11/21/2018 10:30PM ET,COL,4.85
,,,,,,,,,,G,Keith Kinkaid (11670970),Keith Kinkaid,11670970,G,8200,MON@NJ 11/21/2018 07:00PM ET,NJ,4.81
,,,,,,,,,,G,Frederik Andersen (11670971),Frederik Andersen,11670971,G,8200,TOR@CAR 11/21/2018 07:00PM ET,TOR,6.24
,,,,,,,,,,RW,David Pastrnak (11669623),David Pastrnak,11669623,W/UTIL,8200,BOS@DET 11/21/2018 07:30PM ET,BOS,5.65
,,,,,,,,,,G,Ryan Miller (11670996),Ryan Miller,11670996,G,8200,VAN@ANH 11/21/2018 10:00PM ET,ANH,4.14
,,,,,,,,,,G,Devan Dubnyk (11670972),Devan Dubnyk,11670972,G,8100,OTT@MIN 11/21/2018 08:00PM ET,MIN,5.28
,,,,,,,,,,C,Nathan MacKinnon (11669191),Nathan MacKinnon,11669191,C/UTIL,8100,COL@LA 11/21/2018 10:30PM ET,COL,5.82
,,,,,,,,,,G,Philipp Grubauer (11670997),Philipp Grubauer,11670997,G,8100,COL@LA 11/21/2018 10:30PM ET,COL,4.17
,,,,,,,,,,G,Carter Hutton (11670973),Carter Hutton,11670973,G,8000,PHI@BUF 11/21/2018 07:30PM ET,BUF,4.71
,,,,,,,,,,G,Cory Schneider (11670998),Cory Schneider,11670998,G,8000,MON@NJ 11/21/2018 07:00PM ET,NJ,0.84
,,,,,,,,,,C,John Tavares (11669193),John Tavares,11669193,C/UTIL,8000,TOR@CAR 11/21/2018 07:00PM ET,TOR,5.29
,,,,,,,,,,G,Garret Sparks (11670999),Garret Sparks,11670999,G,8000,TOR@CAR 11/21/2018 07:00PM ET,TOR,5.25
,,,,,,,,,,G,Braden Holtby (11670975),Braden Holtby,11670975,G,7900,CHI@WAS 11/21/2018 07:00PM ET,WAS,4.2
,,,,,,,,,,C,Patrice Bergeron (11669195),Patrice Bergeron,11669195,C/UTIL,7900,BOS@DET 11/21/2018 07:30PM ET,BOS,5.5
,,,,,,,,,,G,Jaroslav Halak (11670974),Jaroslav Halak,11670974,G,7900,BOS@DET 11/21/2018 07:30PM ET,BOS,5.71
,,,,,,,,,,G,Tuukka Rask (11671003),Tuukka Rask,11671003,G,7900,BOS@DET 11/21/2018 07:30PM ET,BOS,3.93
,,,,,,,,,,G,Alex Stalock (11671000),Alex Stalock,11671000,G,7900,OTT@MIN 11/21/2018 08:00PM ET,MIN,4.8
,,,,,,,,,,G,Linus Ullmark (11671002),Linus Ullmark,11671002,G,7800,PHI@BUF 11/21/2018 07:30PM ET,BUF,5.77
,,,,,,,,,,G,Henrik Lundqvist (11670976),Henrik Lundqvist,11670976,G,7800,NYI@NYR 11/21/2018 07:00PM ET,NYR,4.81
,,,,,,,,,,C,Tyler Seguin (11669197),Tyler Seguin,11669197,C/UTIL,7800,DAL@PIT 11/21/2018 07:00PM ET,DAL,4.93
,,,,,,,,,,LW,Alex Ovechkin (11669625),Alex Ovechkin,11669625,W/UTIL,7800,CHI@WAS 11/21/2018 07:00PM ET,WAS,5.22
